**********************
Inicio de la transcripción de Windows PowerShell
Hora de inicio: 20250806144948
Nombre de usuario: AULA403-23\Administrador
Usuario RunAs: AULA403-23\Administrador
Nombre de la configuración: 
Máquina: AULA403-23 (Microsoft Windows NT 10.0.26100.0)
Aplicación host: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Id. de proceso: 1636
PSVersion: 5.1.26100.4652
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.4652
BuildVersion: 10.0.26100.4652
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
La transcripción ha comenzado. El archivo de salida es C:\Users\Aula403-23\Documents\E2\transcript.txt
PS C:\WINDOWS\system32> Get-Date

miércoles, 6 de agosto de 2025 02:49:59 p. m.


PS C:\WINDOWS\system32> Get-Location

Path
----
C:\WINDOWS\system32


PS C:\WINDOWS\system32> Clear-Host
PS C:\WINDOWS\system32> Get-Process

Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName
-a----     10/07/2025  09:54 a. m.         655360 licensingdiag.exe
-a----     04/06/2025  08:33 p. m.         491520 LicensingDiagSpp.dll
-a----     05/09/2024  10:09 p. m.         174904 LicensingUI.exe
-a----     05/06/2025  01:11 p. m.         820680 LicensingWinRT.dll
-a----     05/09/2024  10:08 p. m.          53248 licmgr10.dll
-a----     01/04/2024  01:22 a. m.          61440 linkinfo.dll
-a----     05/06/2025  01:10 p. m.         188416 LiveCaptions.exe
-a----     04/06/2025  08:32 p. m.         106496 lltdapi.dll
-a----     01/04/2024  01:22 a. m.          12288 lltdres.dll
-a----     10/07/2025  09:57 a. m.         356352 lltdsvc.dll
-a----     04/06/2025  08:32 p. m.          63448 lmhsvc.dll
-a----     04/06/2025  08:32 p. m.         131072 loadperf.dll
-a----     04/06/2025  08:31 p. m.         861992 locale.nls
-a----     10/07/2025  09:58 a. m.         884736 localkdcsvc.dll
-a----     04/06/2025  08:31 p. m.         528384 localsec.dll
-a----     10/07/2025  09:57 a. m.        1572864 localspl.dll
-a----     04/06/2025  08:32 p. m.          45056 localui.dll
-a----     10/07/2025  09:57 a. m.         417792 LocationApi.dll
-a----     10/07/2025  09:56 a. m.        2224128 LocationFramework.dll
-a----     04/06/2025  08:31 p. m.          98304 LocationFrameworkInternalPS.dll
-a----     04/06/2025  08:31 p. m.          62880 LocationFrameworkPS.dll
-a----     10/07/2025  09:56 a. m.         139264 LocationWinPalMisc.dll
-a----     01/04/2024  01:22 a. m.          32768 Locator.exe
-a----     05/06/2025  01:10 p. m.         442368 LockAppBroker.dll
-a----     04/06/2025  08:32 p. m.         100656 LockAppHost.exe
-a----     10/07/2025  09:56 a. m.         692224 LockController.dll
-a----     10/07/2025  09:56 a. m.         483328 LockHostingFramework.dll
-a----     10/07/2025  09:55 a. m.         249856 LockScreenContent.dll
-a----     04/06/2025  08:30 p. m.          77824 LockScreenContentHost.dll
-a----     10/07/2025  09:55 a. m.          75832 LockScreenContentServer.exe
-a----     05/06/2025  01:10 p. m.         458752 LockScreenData.dll
-a----     04/06/2025  08:32 p. m.         106496 lodctr.exe
-a----     05/09/2024  10:08 p. m.         131072 logagent.exe
-a----     04/06/2025  08:33 p. m.         102400 loghours.dll
-a----     05/09/2024  10:08 p. m.         118784 logman.exe
-a----     01/04/2024  02:27 p. m.          49152 logoff.exe
-a----     05/06/2025  01:11 p. m.         294840 logoncli.dll
-a----     10/07/2025  09:56 a. m.         921600 LogonController.dll
-a----     10/07/2025  09:55 a. m.          77824 LogonUI.exe
-a----     01/04/2024  01:22 a. m.           2466 LowBatterySystemToastIcon.contrast-white.png
-a----     01/04/2024  01:22 a. m.           2561 LowBatterySystemToastIcon.png
-a----     10/07/2025  09:59 a. m.        1585152 lpasvc.dll
-a----     04/06/2025  08:31 p. m.          12288 lpk.dll
-a----     05/09/2024  10:08 p. m.          61440 lpkinstall.exe
-a----     10/07/2025  09:56 a. m.         778240 lpksetup.exe
-a----     10/07/2025  09:56 a. m.          28672 lpksetupproxyserv.dll
-a----     10/07/2025  09:56 a. m.         159744 lpremove.exe
-a----     10/07/2025  09:56 a. m.         225280 lsaadt.dll
-a----     10/07/2025  09:58 a. m.         389896 LsaIso.exe
-a----     10/07/2025  09:56 a. m.        1765376 lsasrv.dll
-a----     04/06/2025  08:32 p. m.          84168 lsass.exe
-a----     05/06/2025  01:11 p. m.          94208 LSCSHostPolicy.dll
-a----     10/07/2025  09:58 a. m.         925696 lsm.dll
-a----     01/04/2024  01:22 a. m.          65536 lsmproxy.dll
-a----     05/06/2025  01:11 p. m.          53248 lstelemetry.dll
-a----     05/06/2025  01:12 p. m.          61440 luiapi.dll
-a----     01/04/2024  01:22 a. m.         144998 lusrmgr.msc
-a----     05/09/2024  10:08 p. m.          69632 lxutil.dll
-a----     01/04/2024  01:22 a. m.          12288 lz32.dll
-a----     01/04/2024  01:22 a. m.           9926 l_intl.nls
-a----     05/09/2024  10:08 p. m.          73728 Magnification.dll
-a----     10/07/2025  09:56 a. m.         897024 Magnify.exe
-a----     04/06/2025  08:32 p. m.         102400 main.cpl
-a----     05/09/2024  10:08 p. m.         114688 MaintenanceUI.dll
-a----     01/04/2024  01:22 a. m.         110592 makecab.exe
-a----     10/07/2025  09:57 a. m.         278528 manage-bde.exe
-a----     01/04/2024  01:22 a. m.            874 manage-bde.wsf
-a----     05/06/2025  01:09 p. m.         249856 ManageCI.dll
-a----     04/06/2025  08:32 p. m.         544768 MapConfiguration.dll
-a----     04/06/2025  08:32 p. m.         237568 MapControlCore.dll
-a----     04/06/2025  08:32 p. m.          12288 MapControlStringsRes.dll
-a----     05/06/2025  01:10 p. m.        2293760 MapGeocoder.dll
-a----     10/07/2025  09:56 a. m.         196608 mapi32.dll
-a----     10/07/2025  09:56 a. m.         196608 mapistub.dll
-a----     05/06/2025  01:10 p. m.        2871296 MapRouter.dll
-a----     04/06/2025  08:32 p. m.         143360 MapsBtSvc.dll
-a----     04/06/2025  08:32 p. m.          40960 MapsBtSvcProxy.dll
-a----     04/06/2025  08:32 p. m.         122880 MapsCSP.dll
-a----     04/06/2025  08:32 p. m.        1060864 MapsStore.dll
-a----     04/06/2025  08:32 p. m.          81920 mapstoasttask.dll
-a----     04/06/2025  08:32 p. m.          77824 mapsupdatetask.dll
-a----     04/06/2025  08:30 p. m.         222624 mavinject.exe
-a----     10/07/2025  09:57 a. m.         638976 MbaeApi.dll
-a----     10/07/2025  09:57 a. m.        1196032 MbaeApiPublic.dll
-a----     04/06/2025  08:32 p. m.         843776 mblctr.exe
-a----     10/07/2025  09:57 a. m.         610304 MBMediaManager.dll
-a----     10/07/2025  09:58 a. m.         360448 MBR2GPT.EXE
-a----     04/06/2025  08:32 p. m.         614400 mbsmsapi.dll
-a----     05/09/2024  10:08 p. m.         114688 mbussdapi.dll
-a----     04/06/2025  08:32 p. m.         131072 mcbuilder.exe
-a----     05/09/2024  10:08 p. m.         217088 MCCSEngineShared.dll
-a----     04/06/2025  08:32 p. m.          61440 MCCSPal.dll
-a----     04/06/2025  08:34 p. m.         126976 mciavi32.dll
-a----     05/09/2024  10:08 p. m.          73728 mcicda.dll
-a----     05/09/2024  10:08 p. m.          65536 mciqtz32.dll
-a----     01/04/2024  01:22 a. m.          57344 mciseq.dll
-a----     01/04/2024  01:22 a. m.          53248 mciwave.dll
-a----     10/07/2025  09:55 a. m.         258048 mcmsvc.dll
-a----     04/06/2025  08:32 p. m.          45056 McpManagementProxy.dll
-a----     10/07/2025  09:56 a. m.         315392 McpManagementService.dll
-a----     04/06/2025  08:32 p. m.        1040384 MCRecvSrc.dll
-a----     01/04/2024  01:22 a. m.         139696 mcupdate_AuthenticAMD.dll
-a----     01/04/2024  01:22 a. m.        3593120 mcupdate_GenuineIntel.dll
-a----     05/09/2024  10:08 p. m.         471040 MDEServer.exe
-a----     04/06/2025  08:32 p. m.         172032 MDMAgent.exe
-a----     04/06/2025  08:32 p. m.         196608 MDMAppInstaller.exe
-a----     05/09/2024  10:08 p. m.         217088 MdmCommon.dll
-a----     10/07/2025  09:56 a. m.        2596864 MdmDiagnostics.dll
-a----     04/06/2025  08:31 p. m.          90112 MdmDiagnosticsTool.exe
-a----     05/09/2024  10:09 p. m.         106496 mdminst.dll
-a----     04/06/2025  08:31 p. m.          69632 mdmlocalmanagement.dll
-a----     04/06/2025  08:31 p. m.         200704 mdmmigrator.dll
-ar---     04/06/2025  08:31 p. m.          81920 mdmpostprocessevaluator.dll
-a----     10/07/2025  09:56 a. m.         577536 mdmregistration.dll
-a----     01/04/2024  01:22 a. m.         110592 MdRes.exe
-a----     04/06/2025  08:32 p. m.         114688 MdSched.exe
-a----     04/06/2025  08:33 p. m.         196608 MediaFoundation.DefaultPerceptionProvider.dll
-a----     05/09/2024  10:08 p. m.         159744 MediaFoundationAggregator.dll
-a----     01/04/2024  01:22 a. m.           1284 MediaSystemToastIcon.contrast-white.png
-a----     01/04/2024  01:22 a. m.            854 MediaSystemToastIcon.png
-a----     01/04/2024  01:22 a. m.         110036 MediumRoom.bin
-a----     05/09/2024  10:08 p. m.          61440 MemoryDiagnostic.dll
-a----     05/06/2025  01:09 p. m.        1064960 MessagingDataModel2.dll
-a----     04/06/2025  08:32 p. m.          94208 MessagingService.dll
-a----     10/07/2025  09:56 a. m.         559280 mf.dll
-a----     04/06/2025  08:31 p. m.         126976 mf3216.dll
-a----     04/06/2025  08:32 p. m.        1641872 mfAACEnc.dll
-a----     10/07/2025  09:57 a. m.        1604656 mfasfsrcsnk.dll
-a----     10/07/2025  09:57 a. m.        1129472 mfaudiocnv.dll
-a----     11/06/2025  05:21 a. m.        5629600 mfc140.dll
-a----     11/06/2025  05:21 a. m.          51360 mfc140chs.dll
-a----     11/06/2025  05:21 a. m.          51328 mfc140cht.dll
-a----     11/06/2025  05:21 a. m.          80008 mfc140deu.dll
-a----     11/06/2025  05:21 a. m.          70272 mfc140enu.dll
-a----     11/06/2025  05:21 a. m.          78928 mfc140esn.dll
-a----     11/06/2025  05:21 a. m.          80000 mfc140fra.dll
-a----     11/06/2025  05:21 a. m.          77952 mfc140ita.dll
-a----     11/06/2025  05:21 a. m.          59008 mfc140jpn.dll
-a----     11/06/2025  05:21 a. m.          58448 mfc140kor.dll
-a----     11/06/2025  05:21 a. m.          75856 mfc140rus.dll
-a----     11/06/2025  05:21 a. m.        5664848 mfc140u.dll
-a----     05/06/2025  01:10 p. m.        1417216 mfc42.dll
-a----     05/06/2025  01:10 p. m.        1425408 mfc42u.dll
-a----     10/07/2025  09:56 a. m.         778288 MFCaptureEngine.dll
-a----     11/06/2025  05:21 a. m.          96392 mfcm140.dll
-a----     11/06/2025  05:21 a. m.          96336 mfcm140u.dll
-a----     10/07/2025  09:57 a. m.        4294600 mfcore.dll
-a----     05/09/2024  10:08 p. m.          57344 mfcsubs.dll
-a----     05/06/2025  01:10 p. m.        1042752 mfds.dll
-a----     05/06/2025  01:10 p. m.         290816 MFDshowReverseBridge.dll
-a----     04/06/2025  08:32 p. m.         172032 mfdvdec.dll
-a----     04/06/2025  08:35 p. m.          77824 mferror.dll
-a----     04/06/2025  08:32 p. m.          86016 mfh263enc.dll
-a----     10/07/2025  09:57 a. m.         729088 mfh264enc.dll
-a----     04/06/2025  08:31 p. m.         229376 mfksproxy.dll
-a----     10/07/2025  09:56 a. m.        4390912 MFMediaEngine.dll
-a----     04/06/2025  08:32 p. m.         425984 mfmjpegdec.dll
-a----     10/07/2025  09:57 a. m.         966656 mfmkvsrcsnk.dll
-a----     05/06/2025  01:10 p. m.        2422848 mfmp4srcsnk.dll
-a----     10/07/2025  09:57 a. m.        1261696 mfmpeg2srcsnk.dll
-a----     04/06/2025  08:32 p. m.        1071656 mfnetcore.dll
-a----     04/06/2025  08:32 p. m.        1534440 mfnetsrc.dll
-a----     05/09/2024  10:08 p. m.        1265856 mfperfhelper.dll
-a----     10/07/2025  09:57 a. m.        2228640 mfplat.dll
-a----     10/07/2025  09:57 a. m.         588224 MFPlay.dll
-a----     05/06/2025  01:10 p. m.          75864 mfpmp.exe
-a----     04/06/2025  08:32 p. m.         261784 mfps.dll
-a----     04/06/2025  08:32 p. m.         869184 mfreadwrite.dll
-a----     10/07/2025  09:56 a. m.         666712 mfsensorgroup.dll
-a----     05/06/2025  01:10 p. m.        1898096 mfsrcsnk.dll
-a----     10/07/2025  09:56 a. m.        1732744 mfsvr.dll
-a----     05/09/2024  10:08 p. m.         489040 mftranscode.dll
-a----     05/09/2024  10:08 p. m.         121200 mfvdsp.dll
-a----     05/09/2024  10:08 p. m.          69632 mfvfw.dll
-a----     04/06/2025  08:32 p. m.         249856 MFWMAAEC.DLL
-a----     23/06/2021  08:46 p. m.       26671976 mfxplugin64_hw.dll
-a----     05/09/2024  10:09 p. m.          49152 mgmtapi.dll
-a----     04/06/2025  08:30 p. m.         163840 mgmtrefreshcredprov.dll
-a----     01/04/2024  01:22 a. m.         159744 mi.dll
-a----     01/04/2024  01:22 a. m.         114688 mibincodec.dll
-a----     01/04/2024  01:22 a. m.         221184 Microsoft-Windows-AppModelExecEvents.dll
-a----     04/06/2025  08:30 p. m.          42400 microsoft-windows-battery-events.dll
-a----     01/04/2024  01:22 a. m.          26016 microsoft-windows-hal-events.dll
-a----     04/06/2025  08:31 p. m.         237568 Microsoft-Windows-Internal-Shell-NearShareExperience.dll
-a----     01/04/2024  01:22 a. m.          62880 microsoft-windows-kernel-cc-events.dll
-a----     05/09/2024  10:08 p. m.         112032 microsoft-windows-kernel-pnp-events.dll
-a----     10/07/2025  09:56 a. m.         365968 microsoft-windows-kernel-power-events.dll
-a----     10/07/2025  09:56 a. m.         271776 microsoft-windows-kernel-processor-power-events.dll
-a----     04/06/2025  08:32 p. m.          24576 Microsoft-Windows-MapControls.dll
-a----     04/06/2025  08:32 p. m.          16384 Microsoft-Windows-MosHost.dll
-a----     04/06/2025  08:32 p. m.          34208 microsoft-windows-mptf-events.dll
-a----     01/04/2024  01:22 a. m.          99648 microsoft-windows-pdc.dll
-a----     01/04/2024  01:22 a. m.          20480 microsoft-windows-power-cad-events.dll
-a----     01/04/2024  01:22 a. m.          12288 microsoft-windows-processor-aggregator-events.dll
-a----     05/06/2025  01:11 p. m.         181688 microsoft-windows-sleepstudy-events.dll
-a----     01/04/2024  01:22 a. m.          16384 microsoft-windows-storage-tiering-events.dll
-a----     10/07/2025  09:58 a. m.         685440 microsoft-windows-system-events.dll
-a----     04/06/2025  08:32 p. m.          12288 Microsoft-WindowsPhone-SEManagementProvider.dll
-a----     10/07/2025  09:57 a. m.        1912832 Microsoft.Bluetooth.Audio.dll
-a----     10/07/2025  09:55 a. m.         303104 Microsoft.Bluetooth.Proxy.dll
-a----     10/07/2025  09:55 a. m.        3772416 Microsoft.Bluetooth.Service.dll
-a----     10/07/2025  09:55 a. m.         610304 Microsoft.Bluetooth.UserService.dll
-a----     10/07/2025  09:56 a. m.        1306624 Microsoft.Graphics.Display.DisplayEnhancementService.dll
-a----     10/07/2025  09:56 a. m.         733184 Microsoft.Internal.FrameworkUdk.System.dll
-a----     01/04/2024  01:22 a. m.         113032 Microsoft.Internal.WarpPal.dll
-a----     10/07/2025  09:54 a. m.         139264 Microsoft.LocalUserImageProvider.dll
-a----     01/04/2024  01:22 a. m.          40960 Microsoft.Management.Infrastructure.Native.Unmanaged.dll
-a----     04/06/2025  08:30 p. m.         226840 Microsoft.Media.PlayReady.Appraiser.dll
-a----     04/06/2025  08:30 p. m.          40960 Microsoft.Uev.AgentDriverEvents.dll
-a----     10/07/2025  09:55 a. m.        1881472 Microsoft.Uev.AppAgent.dll
-a----     04/06/2025  08:30 p. m.          54784 Microsoft.Uev.CabUtil.dll
-a----     04/06/2025  08:30 p. m.         214016 Microsoft.Uev.CmUtil.dll
-a----     04/06/2025  08:30 p. m.          71168 Microsoft.Uev.Common.dll
-a----     04/06/2025  08:30 p. m.          18944 Microsoft.Uev.Common.WinRT.dll
-a----     10/07/2025  09:55 a. m.         851968 Microsoft.Uev.CommonBridge.dll
-a----     04/06/2025  08:30 p. m.         253952 Microsoft.Uev.ConfigWrapper.dll
-a----     05/06/2025  01:09 p. m.         339968 Microsoft.Uev.CscUnpinTool.exe
-a----     04/06/2025  08:30 p. m.          73728 Microsoft.Uev.EventLogMessages.dll
-a----     04/06/2025  08:30 p. m.          17920 Microsoft.Uev.LocalSyncProvider.dll
-a----     04/06/2025  08:30 p. m.         288256 Microsoft.Uev.ManagedEventLogging.dll
-a----     04/06/2025  08:30 p. m.          22016 Microsoft.Uev.Management.dll
-a----     04/06/2025  08:30 p. m.          23552 Microsoft.Uev.Management.WmiAccess.dll
-a----     10/07/2025  09:55 a. m.        1703936 Microsoft.Uev.ModernAppAgent.dll
-a----     04/06/2025  08:30 p. m.          59392 Microsoft.Uev.ModernAppCore.dll
-a----     04/06/2025  08:30 p. m.          21504 Microsoft.Uev.ModernAppData.WinRT.dll
-a----     04/06/2025  08:30 p. m.          14336 Microsoft.Uev.ModernSync.dll
-a----     04/06/2025  08:30 p. m.           8704 Microsoft.Uev.MonitorSyncProvider.dll
-a----     04/06/2025  08:30 p. m.          77824 Microsoft.Uev.Office2010CustomActions.dll
-a----     10/07/2025  09:55 a. m.         503808 Microsoft.Uev.Office2013CustomActions.dll
-a----     10/07/2025  09:55 a. m.         503808 Microsoft.Uev.PrinterCustomActions.dll
-a----     04/06/2025  08:30 p. m.          11264 Microsoft.Uev.SmbSyncProvider.dll
-a----     04/06/2025  08:30 p. m.          19968 Microsoft.Uev.SyncCommon.dll
-a----     04/06/2025  08:30 p. m.           7680 Microsoft.Uev.SyncConditions.dll
-a----     04/06/2025  08:30 p. m.          83968 Microsoft.Uev.SyncController.exe
-a----     01/04/2024  01:22 a. m.          15360 Microsoft.Windows.Storage.Core.dll
-a----     01/04/2024  01:22 a. m.          14848 Microsoft.Windows.Storage.StorageBusCache.dll
-a----     05/06/2025  01:09 p. m.         723456 MicrosoftAccount.TokenProvider.Core.dll
-a----     04/06/2025  08:33 p. m.         348160 MicrosoftAccountCloudAP.dll
-a----     04/06/2025  08:32 p. m.         495616 MicrosoftAccountExtension.dll
-a----     10/07/2025  09:59 a. m.         327680 MicrosoftAccountTokenProvider.dll
-a----     10/07/2025  09:56 a. m.         700416 MicrosoftAccountWAMExtension.dll
-a----     05/06/2025  01:10 p. m.         114688 MicrosoftEdgeBCHost.exe
-a----     05/09/2024  10:08 p. m.         114688 MicrosoftEdgeCP.exe
-a----     05/06/2025  01:10 p. m.         114688 MicrosoftEdgeDevTools.exe
-a----     05/09/2024  10:08 p. m.          81920 MicrosoftEdgeSH.exe
-a----     04/06/2025  08:30 p. m.          49152 midimap.dll
-a----     01/04/2024  01:22 a. m.         148800 migisol.dll
-a----     04/06/2025  08:29 p. m.         204800 miguiresource.dll
-a----     05/09/2024  10:08 p. m.          98304 mimefilt.dll
-a----     05/09/2024  10:09 p. m.         176128 mimofcodec.dll
-a----     01/04/2024  01:22 a. m.          28672 MinstoreEvents.dll
-a----     05/09/2024  10:08 p. m.          65536 MiracastInputMgr.dll
-a----     04/06/2025  08:32 p. m.        1126400 MiracastReceiver.dll
-a----     04/06/2025  08:32 p. m.         122880 MiracastReceiverExt.dll
-a----     05/09/2024  10:08 p. m.          65536 MirrorDrvCompat.dll
-a----     10/07/2025  09:59 a. m.        3503488 mispace.dll
-a----     10/07/2025  09:57 a. m.         217088 MissionControlAggregator.dll
-a----     10/07/2025  09:57 a. m.         589824 MitigationClient.dll
-a----     05/09/2024  10:08 p. m.         131072 MitigationConfiguration.dll
-a----     04/06/2025  08:34 p. m.         266240 miutils.dll
-a----     01/04/2024  01:22 a. m.         673088 mlang.dat
-a----     05/09/2024  10:08 p. m.         278528 mlang.dll
-a----     04/06/2025  08:34 p. m.          86016 MLEngineStub.exe
-a----     10/07/2025  09:57 a. m.        1888256 mmc.exe
-a----     01/04/2024  01:24 a. m.           3103 mmc.exe.config
-a----     10/07/2025  09:57 a. m.         204800 mmcbase.dll
-a----     10/07/2025  09:57 a. m.        2093056 mmcndmgr.dll
-a----     10/07/2025  09:57 a. m.         155648 mmcshext.dll
-a----     10/07/2025  09:57 a. m.         662584 MMDevAPI.dll
-a----     04/06/2025  08:32 p. m.        1671168 mmgaclient.dll
-a----     05/09/2024  10:08 p. m.         167936 mmgaproxystub.dll
-a----     04/06/2025  08:32 p. m.        1327104 mmgaserver.exe
-a----     01/04/2024  01:22 a. m.          12288 mmres.dll
-a----     04/06/2025  08:32 p. m.         385024 mmsys.cpl
-a----     04/06/2025  08:30 p. m.         139264 mobilenetworking.dll
-a----     05/09/2024  10:08 p. m.         131072 mobsync.exe
-a----     01/04/2024  01:22 a. m.          57344 mode.com
-a----     04/06/2025  08:34 p. m.         212992 modemui.dll
-a----     04/06/2025  08:32 p. m.         581632 modernexecserver.dll
-a----     10/07/2025  09:57 a. m.         282624 ModernPrintConfigHelper.dll
-a----     04/06/2025  08:34 p. m.          86016 MoNotificationUxStub.exe
-a----     01/04/2024  01:22 a. m.          53248 more.com
-a----     01/04/2024  01:22 a. m.          12288 moricons.dll
-a----     04/06/2025  08:32 p. m.         122880 moshost.dll
-a----     04/06/2025  08:32 p. m.         143360 MosHostClient.dll
-a----     04/06/2025  08:32 p. m.         263600 moshostcore.dll
-a----     05/06/2025  01:10 p. m.         139264 MosStorage.dll
-a----     01/04/2024  01:22 a. m.          45056 mountvol.exe
-a----     01/04/2024  01:22 a. m.           1386 MouseSystemToastIcon.contrast-white.png
-a----     01/04/2024  01:22 a. m.           1087 MouseSystemToastIcon.png
-a----     05/06/2025  01:10 p. m.         141992 MP3DMOD.DLL
-a----     05/09/2024  10:08 p. m.         265912 MP43DECD.DLL
-a----     10/07/2025  09:57 a. m.         427032 MP4SDECD.DLL
-a----     05/06/2025  01:10 p. m.         266240 MpeCm.dll
-a----     05/06/2025  01:12 p. m.         116152 Mpeg2Data.ax
-a----     04/06/2025  08:32 p. m.         120264 MpeHttpExt.dll
-a----     04/06/2025  08:35 p. m.         258048 mpeval.dll
-a----     04/06/2025  08:31 p. m.         300448 mpg2splt.ax
-a----     04/06/2025  08:32 p. m.         265912 MPG4DECD.DLL
-a----     01/04/2024  01:22 a. m.          45056 mpnotify.exe
-a----     04/06/2025  08:32 p. m.         146088 mpr.dll
-a----     10/07/2025  09:57 a. m.         540672 mprapi.dll
-a----     10/07/2025  09:57 a. m.         876544 mprddm.dll
-a----     10/07/2025  09:57 a. m.         503808 mprdim.dll
-a----     01/04/2024  01:22 a. m.          40960 mprext.dll
-a----     04/06/2025  08:32 p. m.         143360 mprmsg.dll
-a----     05/06/2025  12:39 p. m.         918944 MpSigStub.exe
-a----     10/07/2025  09:59 a. m.        1433600 MPSSVC.dll
-a----     05/06/2025  01:11 p. m.         158504 MptfGenericService.exe
-a----     04/06/2025  08:35 p. m.         520192 mpunits.dll
-a----     04/06/2025  08:34 p. m.          40960 MRINFO.EXE
-a----     10/07/2025  09:55 a. m.        1187320 MrmCoreR.dll
-a----     10/07/2025  09:55 a. m.         422904 MrmDeploy.dll
-a----     10/07/2025  09:55 a. m.         798720 MrmIndexer.dll
-a----     19/06/2025  07:02 p. m.      216824056 MRT.exe
-a----     05/09/2024  10:08 p. m.          40960 mrt100.dll
-a----     05/09/2024  10:08 p. m.          45056 mrt_map.dll
-a----     05/09/2024  10:08 p. m.          81920 ms3dthumbnailprovider.dll
-a----     04/06/2025  08:32 p. m.         180224 msaatext.dll
-a----     04/06/2025  08:30 p. m.         145992 msacm32.dll
-a----     04/06/2025  08:30 p. m.          61440 msacm32.drv
-a----     05/09/2024  10:08 p. m.          63448 msadp32.acm
-a----     01/04/2024  01:22 a. m.          12288 msafd.dll
-a----     05/09/2024  10:08 p. m.          81920 MSAlacDecoder.dll
-a----     05/09/2024  10:08 p. m.          90112 MSAlacEncoder.dll
-a----     05/09/2024  10:09 p. m.         159744 MSAMRNBDecoder.dll
-a----     05/09/2024  10:09 p. m.         237568 MSAMRNBEncoder.dll
-a----     05/09/2024  10:09 p. m.          57344 MSAMRNBSink.dll
-a----     05/09/2024  10:09 p. m.         118784 MSAMRNBSource.dll
-a----     05/09/2024  10:08 p. m.         102400 MSAProfileNotificationHandler.dll
-a----     10/07/2025  09:57 a. m.          88232 msasn1.dll
-a----     10/07/2025  09:57 a. m.        1001376 MSAudDecMFT.dll
-a----     10/07/2025  09:57 a. m.         163840 msaudite.dll
-a----     05/09/2024  10:09 p. m.          73728 msauserext.dll
-a----     04/06/2025  08:34 p. m.         364544 mscandui.dll
-a----     01/04/2024  01:22 a. m.          36864 mscat32.dll
-a----     01/04/2024  01:22 a. m.         106496 MSchedExe.exe
-a----     04/06/2025  09:24 p. m.         282624 msclmd.dll
-a----     10/07/2025  09:56 a. m.         836112 mscms.dll
-a----     10/07/2025  09:57 a. m.         253952 msconfig.exe
-a----     04/06/2025  08:35 p. m.         430080 mscoree.dll
-a----     01/04/2024  01:22 a. m.          28672 mscorier.dll
-a----     01/04/2024  01:22 a. m.          76176 mscories.dll
-a----     10/07/2025  09:58 a. m.        1455896 msctf.dll
-a----     01/04/2024  01:22 a. m.          32768 msctfime.ime
-a----     04/06/2025  08:34 p. m.         102400 MsCtfMonitor.dll
-a----     04/06/2025  08:34 p. m.         208896 msctfp.dll
-a----     04/06/2025  08:34 p. m.         176128 msctfui.dll
-a----     04/06/2025  08:34 p. m.         806912 msctfuimanager.dll
-a----     01/04/2024  01:22 a. m.         184320 msdadiag.dll
-a----     04/06/2025  08:32 p. m.         176128 msdart.dll
-a----     01/04/2024  01:22 a. m.          12288 msdatsrc.tlb
-a----     04/06/2025  08:30 p. m.         595360 msdelta.dll
-a----     05/09/2024  10:08 p. m.          67472 msdmo.dll
-a----     05/09/2024  10:08 p. m.         593920 msdrm.dll
-a----     04/06/2025  08:32 p. m.         557056 msdt.exe
-a----     05/06/2025  01:09 p. m.         208896 msdtc.exe
-a----     05/06/2025  01:09 p. m.         430080 msdtckrm.dll
-a----     05/06/2025  01:09 p. m.         184320 msdtclog.dll
-a----     10/07/2025  09:55 a. m.         966656 msdtcprx.dll
-a----     04/06/2025  08:30 p. m.          40960 msdtcspoffln.dll
-a----     10/07/2025  09:55 a. m.        1650688 msdtctm.dll
-a----     10/07/2025  09:55 a. m.         413696 msdtcuiu.dll
-a----     01/04/2024  01:22 a. m.          32768 msdtcVSp1res.dll
-a----     05/06/2025  01:12 p. m.         112056 MSDvbNP.ax
-a----     05/06/2025  01:10 p. m.          28672 msdxm.ocx
-a----     31/03/2024  02:28 p. m.          44032 msdxm.tlb
-a----     04/06/2025  08:31 p. m.         847872 msfeeds.dll
-a----     04/06/2025  08:31 p. m.         102400 msfeedsbs.dll
-a----     05/09/2024  10:08 p. m.          36864 msfeedssync.exe
-a----     05/09/2024  10:08 p. m.         483328 MSFlacDecoder.dll
-a----     05/09/2024  10:08 p. m.         352256 MSFlacEncoder.dll
-a----     10/07/2025  09:57 a. m.        3325952 msftedit.dll
-a----     05/09/2024  10:09 p. m.          86016 MsftOemDllIgneous.dll
-a----     04/06/2025  08:34 p. m.          49152 msg.exe
-a----     05/09/2024  10:08 p. m.          55184 msg711.acm
-a----     04/06/2025  08:30 p. m.          71712 msgsm32.acm
-a----     04/06/2025  08:31 p. m.          36864 mshta.exe
-a----     10/07/2025  09:56 a. m.       24121344 mshtml.dll
-a----     04/06/2025  08:31 p. m.        2764800 mshtml.tlb
-a----     05/09/2024  10:08 p. m.         106496 MshtmlDac.dll
-a----     04/06/2025  08:31 p. m.         126976 mshtmled.dll
-a----     05/06/2025  01:10 p. m.          57344 mshtmler.dll
